conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,ingénieur cosmétique/ingénieure cosmétique,released,formulatrice en cosmétique | formulateur en cosmétique/formulatrice en cosmétique | ingénieur cosmétique | formulateur en cosmétique | ingénieure cosmétique,"Les ingénieurs cosmétiques/ingénieures cosmétiques élaborent des formules afin de créer et de tester de nouveaux produits cosmétiques et d’améliorer les produits cosmétiques existants, tels que les parfums et les fragrances, les rouges à lèvres, les lotions et le maquillage résistants à l’eau, les teintures pour les cheveux, les savons et détergents possédant des propriétés particulières, les médicaments topiques ou les compléments de santé.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chimiste
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,chargé d’études environnement/chargée d’études environnement,released,chargé d’études environnement | chargée d’études environnement,"Les chargés d’études environnement/chargées d’études environnement identifient les problèmes et trouvent des solutions pour minimiser les risques environnementaux en effectuant des analyses sur des échantillons tels que l’air, l’eau ou le sol. Ils/elles conseillent sur les politiques environnementales ou les élaborent et tentent d’améliorer la préservation des ressources en eau et de gérer les sites d’élimination des déchets. Les chargés d’études environnement/chargées d’études environnement réalisent des évaluations des risques pour l’environnement et analysent l’impact sur l’environnement de nouvelles solutions, de sites de construction ou de modifications de l’environnement en veillant au respect de la réglementation en matière d’environnement.",http://data.europa.eu/esco/isco/C2133,Spécialistes de la protection de l’environnement
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologue,released,,"Les sociologues axent leurs recherches sur le comportement social et la manière dont les citoyens se sont organisés en tant que société. Ils mènent des recherches et expliquent la manière dont les sociétés ont évolué en décrivant leurs systèmes juridiques, politiques et économiques et leurs expressions culturelles.",http://data.europa.eu/esco/isco/C2632,"Sociologues, anthropologues et assimilés"
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biophysicien/biophysicienne,released,biophysicienne de laboratoire | biophysicien de laboratoire | biophysicienne | biophysicien de laboratoire/biophysicienne de laboratoire | biophysicien,"Les biophysiciens/biophysiciennes étudient les relations existantes entre les organismes vivants et la physique. Ils/elles mènent des recherches sur les organismes vivants sur la base des méthodes de physique qui visent à expliquer la complexité de la vie, à prédire des schémas et à tirer des conclusions sur certains aspects de la vie. Les domaines de recherche des biophysiciens/biophysiciennes comprennent l’ADN, les protéines, les molécules, les cellules et les environnements.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologiste
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,sociologue des médias,released,,"Les spécialistes des médias recherche le rôle et l’impact que les médias ont sur la société. Ils observent et documentent l’utilisation de différents types de médias, tels que les journaux, la radio et la télévision, et la réponse de la société.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,anthropologue
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,enseignant-chercheur en soins infirmiers/enseignante-chercheuse en soins infirmiers,released,enseignant-chercheur en soins infirmiers et en pratiques avancées en soins infirmiers/enseignante-chercheuse en soins infirmiers et en pratiques avancées en soins infirmiers | enseignant-chercheur en soins infirmiers | enseignante-chercheuse en soins infirmiers et en pratiques avancées en soins infirmiers | enseignante-chercheuse en soins infirmiers | enseignant-chercheur en soins infirmiers et en pratiques avancées en soins infirmiers,"Les enseignants-chercheurs en soins infirmiers/enseignantes-chercheuses en soins infirmiers sont des professeurs, enseignants ou maîtres de conférences, et souvent des docteurs qui dispensent des cours à des étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, les soins infirmiers, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les pratiques de laboratoire, ainsi que les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, les soins infirmiers, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,météorologiste,released,metéorologue,"Les météorologistes étudient les processus climatiques, mesurent et prédisent des situations météorologiques et fournissent des services de conseil à divers utilisateurs d’informations météorologiques. Ils/elles élaborent des modèles de prévision météorologique, élaborent des instruments de collecte de données météorologiques et compilent des statistiques et des bases de données.",http://data.europa.eu/esco/isco/C2112,Météorologues
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,ingénieur en électromagnétisme/ingénieure en électromagnétisme,released,ingénieure d’études électromagnétisme | ingénieur d’études électromagnétisme/ingénieure d’études électromagnétisme | ingénieur en électromagnétisme | ingénieure en électromagnétisme | ingénieur électromagnétisme/ingénieure électromagnétisme | ingénieure électromagnétisme | ingénieur électromagnétisme | ingénieur d’études électromagnétisme,"Les ingénieurs en électromagnétisme/ingénieures en électromagnétisme conçoivent et développent des systèmes, des dispositifs et des composants électromagnétiques tels que les électro-aimants présents dans les haut-parleurs, les serrures électromagnétiques, les aimants présents dans les IRM et les aimants présents dans les moteurs électriques.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,ingénieur électricien/ingénieure électricienne
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,archéologue,released,,"Les archéologues de la recherche et de l’étude des civilisations antérieures et des implantations par l’intermédiaire de la collecte et du contrôle des matériaux continuent à faire l’objet de travaux de recherche. Ils analysent et tirent des conclusions sur un large éventail de questions telles que les systèmes de hiérarchie, la linguistique, la culture et la politique, sur la base de l’étude des objets, des structures, des fossiles, des vestiges et des artefacts abandonnés par ces peuples. Les archéologues utilisent diverses méthodes interdisciplinaires, telles que la stratigraphie, la typologie, l’analyse 3D, les mathématiques et la modélisation.",http://data.europa.eu/esco/isco/C2632,"Sociologues, anthropologues et assimilés"
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,physiologiste,released,physiologue,"Les physiologistes étudient et réalisent des recherches sur le fonctionnement de différents organismes vivants, les éléments qui les composent et leurs interactions. Ils/elles comprennent la façon dont les systèmes de vie réagissent à des facteurs tels que les maladies, l’activité physique et le stress, et ils utilisent ces informations pour mettre au point des méthodes et des solutions visant à atténuer l’effet de ces stimuli sur les organismes vivants.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologiste
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,scientifique des données,released,data scientist | analyste scientifique des données | experte en analyse des données | scientifiques des données | expert en analyse des données,"Les spécialistes des données trouvent et interprètent des sources de données riches, gèrent de grandes quantités de données, fusionnent des sources de données, assurent la cohérence des séries de données et créent des visualisations pour aider à comprendre les données. Ils établissent des modèles mathématiques à l’aide de données, présentent et communiquent des informations et des connaissances en matière de données aux spécialistes et aux scientifiques de leur équipe et, le cas échéant, à un public non spécialisé, et recommandent des moyens d’appliquer les données.",http://data.europa.eu/esco/isco/C2511,Analystes de systèmes
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,enseignant-chercheur en entrepreneuriat/enseignante-chercheuse en entrepreneuriat,released,enseignant-chercheur en entrepreneuriat | enseignante-chercheuse en entrepreneuriat,"Les enseignants-chercheurs en entrepreneuriat/enseignantes-chercheuses en entrepreneuriat sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur domaine d’études spécialisé, l’entrepreneuriat, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine, l’entrepreneuriat, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,enseignant-chercheur en sciences de la terre/enseignante-chercheuse en sciences de la terre,released,enseignant-chercheur en sciences de la terre | enseignante-chercheuse en sciences de la terre,"Les enseignants-chercheurs en sciences de la terre/enseignantes-chercheuses en sciences de la terre sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, les sciences de la terre, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils/elles préparent les conférences et les examens, notent les articles et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine, les sciences de la terre, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,ingénieur en optoélectronique/ingénieure en optoélectronique,released,ingénieur optoélectronique/ingénieure optoélectronique | ingénieure optoélectronique | ingénieur en optoélectronique | ingénieure en optoélectronique | ingénieur optoélectronique,"Les ingénieurs en optoélectronique/ingénieures en optoélectronique conçoivent et développent des systèmes et des dispositifs optoélectroniques, tels que des capteurs UV, des photodiodes et des LED. L’ingénierie optoélectronique combine ingénierie optique et ingénierie électronique dans la conception de ces systèmes et dispositifs. Ils/elles mènent des recherches, effectuent des analyses, testent les dispositifs et supervisent la recherche.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingénieur électronicien/ingénieure électronicienne
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,chercheur en sciences sociales/chercheuse en sciences sociales,released,chercheuse en sciences sociales | chercheur en sciences sociales,"Les chercheurs travaillant dans le domaine social gèrent des projets de recherche visant à mener des enquêtes et à fournir des rapports sur des questions sociales. Ils effectuent tout d’abord des recherches en rassemblant des informations au moyen d’entretiens, de groupes de réflexion et de questionnaires, puis en organisant et analysant les informations recueillies à l’aide de progiciels informatiques. Ils analysent les problèmes et les besoins sociaux, ainsi que les différents moyens et les différentes techniques pour y répondre.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sociologue
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,vétérinaire enseignant-chercheur/vétérinaire enseignante-chercheuse,released,vétérinaire enseignant-chercheur | vétérinaire enseignante-chercheuse,"Les vétérinaires enseignants-chercheurs/vétérinaires enseignantes-chercheuses sont des enseignants, professeurs ou maîtres de conférences, et souvent des docteurs qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, la médecine vétérinaire, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les pratiques de laboratoire, ainsi que les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, la médecine vétérinaire, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,maître de conférences des universités-praticien hospitalier d’odontologie/maîtresse de conférences des universités-praticienne hospitalière d’odontologie,released,chirurgien-dentiste professeur des universités-praticien hospitalier/chirurgienne-dentiste professeure des universités-praticienne hospitalière | chirurgienne-dentiste maîtresse de conférences des universités-praticienne hospitalière | chirurgien-dentiste professeur des universités-praticien hospitalier | chirurgien-dentiste maître de conférences des universités-praticien hospitalier/chirurgienne-dentiste maîtresse de conférences des universités-praticienne hospitalière | chirurgien-dentiste maître de conférences des universités-praticien hospitalier | maîtresse de conférences des universités-praticienne hospitalière d’odontologie | maître de conférences des universités-praticien hospitalier d’odontologie | chirurgienne-dentiste professeure des universités-praticienne hospitalière,"Les maîtres de conférences des universités-praticiens hospitaliers d’odontologie/maîtresses de conférences des universités-praticiennes hospitalières d’odontologie sont des professeurs, enseignants ou maîtres de conférences, et souvent des docteurs qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, l’odontologie, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les pratiques de laboratoire, ainsi que les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, l’odontologie, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,climatologue,released,climatologiste,"Les climatologues étudient la variation moyenne des conditions météorologiques et climatiques dans une perspective à long terme. Ils/elles mènent des recherches et analysent les conditions météorologiques historiques afin de prévoir les tendances climatiques telles que les changements de température, le réchauffement climatique ou l’évolution des conditions météorologiques au niveau régional. Ils/elles utilisent ces résultats pour fournir des conseils en matière de politique environnementale, de construction, de projets agricoles et sur les questions sociétales.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,météorologiste
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toxicologue,released,toxicologue de l’industrie | toxicologiste,"Les toxicologues étudient les effets que les substances chimiques ou les agents biologiques et physiques ont sur les organismes vivants, plus particulièrement sur l’environnement et sur la santé humaine et animale. Ils/elles déterminent les doses d’exposition à des substances entraînant des effets toxiques sur des environnements, des personnes et des organismes vivants, et réalisent également des expériences sur des animaux et des cultures cellulaires.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologiste
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,spécialiste en sciences du comportement,released,,"La recherche comportementale, observer et décrire le comportement humain dans la société. Ils tirent des conclusions sur les motivations de l’agitation chez l’homme, observent les différentes circonstances des différents comportements et décrivent différentes personnalités. Ils conseillent les organisations et les institutions gouvernementales dans ce domaine. Ils peuvent également analyser le comportement des animaux.",http://data.europa.eu/esco/isco/C2632,"Sociologues, anthropologues et assimilés"
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,enseignant-chercheur en journalisme/enseignante-chercheuse en journalisme,released,enseignante-chercheuse en journalisme | enseignant-chercheur en journalisme,"Les enseignants-chercheurs en journalisme/enseignantes-chercheuses en journalisme sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur domaine d’études spécialisé, le journalisme et les médias, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, le journalisme et les médias, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,enseignant-chercheur en communication/enseignante-chercheuse en communication,released,enseignant-chercheur en communication | enseignante-chercheuse en communication,"Les enseignants-chercheurs en communication/enseignantes-chercheuses en communication sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur domaine d’études spécialisé, la communication, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils préparent les conférences et les examens, notent les communications et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine, la communication, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,océanographe,released,,"Les océanographes étudient et effectuent des recherches sur les questions liées à la mer et aux océans. Les océanographes répartissent leur expertise en différentes branches de la recherche: les océanographes physiques, dont la recherche porte sur les vagues et les marées, les océanographes chimiques dont l’étude porte sur la constitution chimique des eaux marines, et les océanographes géologiques, dont la recherche fait référence aux fonds marins et à leurs plaques.
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,géologue
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,enseignant-chercheur en architecture/enseignante-chercheuse en architecture,released,enseignante-chercheuse en architecture | enseignant-chercheur en architecture,"Les enseignants-chercheurs en architecture/enseignantes-chercheuses en architecture sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur domaine d’études spécialisé, l’architecture, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils/elles préparent les conférences et les examens, notent les communications et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, l’architecture, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,"ingénieur spécialité capteurs, instrumentation et mesures/ingénieure spécialité capteurs, instrumentation et mesures",released,"ingénieure spécialité capteurs, instrumentation et mesures | ingénieur spécialité capteurs, instrumentation et mesures","Les ingénieurs spécialité capteurs, instrumentation et mesures/ingénieures spécialité capteurs, instrumentation et mesures conçoivent et développent des capteurs, des systèmes de capteurs et des produits équipés de capteurs. Ils/elles planifient et contrôlent la fabrication de ces produits.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingénieur électronicien/ingénieure électronicienne
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politologue,released,politiste,"Les scientifiques politiques étudient le comportement, l’activité et les systèmes politiques, y compris les éléments qui y figurent. Leur étude sur le terrain va de l’origine et de l’évolution des différents systèmes politiques à des questions d’actualité, telles que les processus décisionnels, les comportements politiques, les tendances politiques, la société et les perspectives énergétiques. Ils conseillent les gouvernements et les organisations institutionnelles sur les questions de gouvernance.",http://data.europa.eu/esco/isco/C2633,"Philosophes, historiens et spécialistes des sciences politiques"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psychologue,released,,"Les psychologues étudient le comportement et les processus mentaux chez l’homme. Ils fournissent des services aux clients qui traitent de questions de santé mentale et de problèmes de vie tels que le deuil, les difficultés relationnelles, la violence domestique et les abus sexuels. Ils fournissent également des conseils pour les problèmes de santé mentale tels que les troubles de l’alimentation, les troubles de stress post-traumatique et la psychose afin d’aider les clients à réhabiliter et à atteindre un comportement sain.",http://data.europa.eu/esco/isco/C2634,Psychologues
